"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 09 01:22:31 EEST 2024","Sun Jun 09 01:22:31 EEST 2024","608","API_Automation_Task","User CRUDs APIs","user_crud_integeration_tests.UserCRUDsTests","user_crud_integeration_tests.UserCRUDsTests","testUpdateUserNo2","testUpdateUserNo2",""
"passed","Sun Jun 09 01:22:23 EEST 2024","Sun Jun 09 01:22:29 EEST 2024","6241","API_Automation_Task","User CRUDs APIs","user_crud_integeration_tests.UserCRUDsTests","user_crud_integeration_tests.UserCRUDsTests","testCreateUser","testCreateUser",""
"passed","Sun Jun 09 01:22:29 EEST 2024","Sun Jun 09 01:22:31 EEST 2024","1578","API_Automation_Task","User CRUDs APIs","user_crud_integeration_tests.UserCRUDsTests","user_crud_integeration_tests.UserCRUDsTests","testListUsersInPageNo2","testListUsersInPageNo2",""
